ContactName,EmailAddress,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,SAAddressLine1,SAAddressLine2,SAAddressLine3,SAAddressLine4,SACity,SARegion,SAPostalCode,SACountry,InvoiceNumber,Reference,InvoiceDate,DueDate,PlannedDate,Total,TaxTotal,InvoiceAmountPaid,InvoiceAmountDue,InventoryItemCode,Description,Quantity,UnitAmount,Discount,LineAmount,AccountCode,TaxType,TaxAmount,TrackingName1,TrackingOption1,TrackingName2,TrackingOption2,Currency,Type,Sent,Status,GBP rate,LineAmountGBP,Period,Channel,Country,Region
Insight School of Washington,dbales@k12insightwa.org,2601 South 35th Street,Suite 100,,,Tacoma,WA,98409,US,,,,,,,,,INV-2684,745424 (PO 021424),2/19/2024,3/20/2024,,466.46,0,0,466.46,PX0003,HUE HD Pro Camera (Green),1,79.95,,79.95,4100,Tax Exempt,0,,,,,USD,Sales invoice,Viewed,Awaiting Payment,1.2625,63.32673267,Feb-24,Direct,United States,US
Insight School of Washington,dbales@k12insightwa.org,2601 South 35th Street,Suite 100,,,Tacoma,WA,98409,US,,,,,,,,,INV-2684,745424 (PO 021424),2/19/2024,3/20/2024,,466.46,0,0,466.46,PX0004,HUE HD Pro Camera (Black),1,79.95,,79.95,4100,Tax Exempt,0,,,,,USD,Sales invoice,Viewed,Awaiting Payment,1.2625,63.32673267,Feb-24,Direct,United States,US
Insight School of Washington,dbales@k12insightwa.org,2601 South 35th Street,Suite 100,,,Tacoma,WA,98409,US,,,,,,,,,INV-2684,745424 (PO 021424),2/19/2024,3/20/2024,,466.46,0,0,466.46,Delivery,Shipping,1,66.71,,66.71,4700,Tax Exempt,0,,,,,USD,Sales invoice,Viewed,Awaiting Payment,1.2625,52.83960396,Feb-24,Direct,United States,US
Insight School of Washington,dbales@k12insightwa.org,2601 South 35th Street,Suite 100,,,Tacoma,WA,98409,US,,,,,,,,,INV-2684,745424 (PO 021424),2/19/2024,3/20/2024,,466.46,0,0,466.46,,"Delivery Address:Leah AndroyInsight School of Washington2601 S 35TH STSuite 100Tacoma, WA 98409United States (US)",0,0,,0,,,0,,,,,USD,Sales invoice,Viewed,Awaiting Payment,1.2625,0,Feb-24,Direct,United States,US
Kelly Ankenbrand,ankenbkl@hoopeston.k12.il.us,615 East Orange Street,,,,Hoopeston,IL,60942,US,,,,,,,,,INV-2683,745383 (PO 2024000637),9/2/2024,10/3/2024,,89.99,0,0,89.99,UL0005,HUE Animation five user license,1,89.99,,89.99,4300,Tax Exempt,0,,,,,USD,Sales invoice,Viewed,Awaiting Payment,1.2625,71.27920792,Feb-24,Direct,United States,US
Fairfield Public Schools,nbyrnes@fairfieldschools.org,501 Kings Hwy E,Suite 210,,,Fairfield,CT,6825,US,,,,,,,,,INV-2682,745301 (PO 24503250),1/2/2024,2/3/2024,,2114.74,0,2114.74,0,ASB001,HUE Animation Studio (Blue) (28x) (full carton),1,1958.6,,1958.6,4100,Tax Exempt,0,,,,,USD,Sales invoice,Viewed,Paid,1.2625,1551.366337,Feb-24,Direct,United States,US
Fairfield Public Schools,nbyrnes@fairfieldschools.org,501 Kings Hwy E,Suite 210,,,Fairfield,CT,6825,US,,,,,,,,,INV-2682,745301 (PO 24503250),1/2/2024,2/3/2024,,2114.74,0,2114.74,0,Delivery,Shipping,1,156.14,,156.14,4700,Tax Exempt,0,,,,,USD,Sales invoice,Viewed,Paid,1.2625,123.6752475,Feb-24,Direct,United States,US
Fairfield Public Schools,nbyrnes@fairfieldschools.org,501 Kings Hwy E,Suite 210,,,Fairfield,CT,6825,US,,,,,,,,,INV-2682,745301 (PO 24503250),1/2/2024,2/3/2024,,2114.74,0,2114.74,0,,"Delivery Address:ATT: Chris McAleeseRoger Ludlowe Middle School689 Unquowa RoadFairfield, CT 06824United States (US)",0,0,,0,,,0,,,,,USD,Sales invoice,Viewed,Paid,1.2625,0,Feb-24,Direct,United States,US
Ascent Information Technology Limited trading as HUE,kasia@huehd.com,12 Enterprise Way,,,,London,,SW18 1FZ,GB,,,,,,,,,INV-2681,Marketing and Product Support for the quarter to ....,12/31/2023,1/30/2024,,0,0,0,0,,Marketing and Product Support for the quarter to ......,1,0,,0,,,0,,,,,USD,Sales invoice,Unsent,Paid,1.27312,0,Dec-23,Direct,United Kingdom,UK
Ascent Information Technology Limited trading as HUE,kasia@huehd.com,12 Enterprise Way,,,,London,,SW18 1FZ,GB,,,,,,,,,INV-2680,Marketing and Product Support for the quarter to 31 Dec 2023,12/19/2023,1/18/2024,,15816.77,0,15816.77,0,,Marketing and Product Support for the quarter to 31 Dec 2023,1,15816.77,,15816.77,4401,Tax Exempt,0,,,,,USD,Sales invoice,Sent,Paid,1.27312,12423.62857,Dec-23,Direct,United Kingdom,UK
Burnhamwood Charter School,apolanco@burnhamwood.org,785 Southwestern Dr,,,,"El Paso,",TX,79912,US,,,,,,,,,INV-2679,739787 (PO 190207),12/14/2023,1/13/2024,,300.33,0,300.33,0,PX0004,HUE HD Pro Camera (Black),3,79.95,,239.85,4100,Tax Exempt,0,,,,,USD,Sales invoice,Viewed,Paid,1.27312,188.395438,Dec-23,Direct,United States,US
Burnhamwood Charter School,apolanco@burnhamwood.org,785 Southwestern Dr,,,,"El Paso,",TX,79912,US,,,,,,,,,INV-2679,739787 (PO 190207),12/14/2023,1/13/2024,,300.33,0,300.33,0,CX0004,HUE HD Pro hard carry case (Black),1,0,,0,,,0,,,,,USD,Sales invoice,Viewed,Paid,1.27312,0,Dec-23,Direct,United States,US
Burnhamwood Charter School,apolanco@burnhamwood.org,785 Southwestern Dr,,,,"El Paso,",TX,79912,US,,,,,,,,,INV-2679,739787 (PO 190207),12/14/2023,1/13/2024,,300.33,0,300.33,0,Delivery,Shipping,1,60.48,,60.48,4100,Tax Exempt,0,,,,,USD,Sales invoice,Viewed,Paid,1.27312,47.50534121,Dec-23,Direct,United States,US
Burnhamwood Charter School,apolanco@burnhamwood.org,785 Southwestern Dr,,,,"El Paso,",TX,79912,US,,,,,,,,,INV-2679,739787 (PO 190207),12/14/2023,1/13/2024,,300.33,0,300.33,0,,"Delivery Address:Aaron PolancoBurnhamwood Charter School785 Southwestern DrEl Paso, TX 79912United States (US)",0,0,,0,,,0,,,,,USD,Sales invoice,Viewed,Paid,1.27312,0,Dec-23,Direct,United States,US
PCS Edventures!,diane@edventures.com,PCS Edventures!,11915 W. Executive Dr. Ste 101,,,Boise,ID,83713,US,,,,,,,,,INV-2678,PO 16387 (to be despatched on 2nd Jan 2024),12/13/2023,12/1/2024,,11841.63,0,11841.63,0,ASB001,HUE Animation Studio (Blue) (28x) (full carton),7,1958.6,20,10968.16,4118,Tax Exempt,0,,,,,USD,Sales invoice,Sent,Paid,1.27312,8615.181601,Dec-23,Direct,United States,US
PCS Edventures!,diane@edventures.com,PCS Edventures!,11915 W. Executive Dr. Ste 101,,,Boise,ID,83713,US,,,,,,,,,INV-2678,PO 16387 (to be despatched on 2nd Jan 2024),12/13/2023,12/1/2024,,11841.63,0,11841.63,0,Delivery,Shipping,1,873.47,,873.47,4700,Tax Exempt,0,,,,,USD,Sales invoice,Sent,Paid,1.27312,686.0861506,Dec-23,Direct,United States,US
PCS Edventures!,diane@edventures.com,PCS Edventures!,11915 W. Executive Dr. Ste 101,,,Boise,ID,83713,US,,,,,,,,,INV-2678,PO 16387 (to be despatched on 2nd Jan 2024),12/13/2023,12/1/2024,,11841.63,0,11841.63,0,,To be shipped on 2nd Jan 2024,0,0,,0,,,0,,,,,USD,Sales invoice,Sent,Paid,1.27312,0,Dec-23,Direct,United States,US
PCS Edventures!,diane@edventures.com,PCS Edventures!,11915 W. Executive Dr. Ste 101,,,Boise,ID,83713,US,,,,,,,,,INV-2678,PO 16387 (to be despatched on 2nd Jan 2024),12/13/2023,12/1/2024,,11841.63,0,11841.63,0,,Ship to:PCS Edventures Warehouse11915 W Executive Drive Suite 101Boise ID 83713Att: Diane Queen Hagwooddiane@edventures.comTel 208-343-3110 Ext. 201,0,0,,0,,,0,,,,,USD,Sales invoice,Sent,Paid,1.27312,0,Dec-23,Direct,United States,US
Mulberry Elementary,trishaauthement@tpsd.org,Mulberry Elementary,450 Cougar Dr.,,,Houma,LA,70360,US,,,,,,,,,INV-2677,739806 (PO 120523-322),11/12/2023,10/1/2024,,572.96,0,572.96,0,PX0001,HUE HD Pro Camera (Blue),2,79.95,,159.9,4100,Tax Exempt,0,,,,,USD,Sales invoice,Viewed,Paid,1.27312,125.5969587,Dec-23,Direct,United States,US
Mulberry Elementary,trishaauthement@tpsd.org,Mulberry Elementary,450 Cougar Dr.,,,Houma,LA,70360,US,,,,,,,,,INV-2677,739806 (PO 120523-322),11/12/2023,10/1/2024,,572.96,0,572.96,0,PX0002,HUE HD Pro Camera (Red),2,79.95,,159.9,4100,Tax Exempt,0,,,,,USD,Sales invoice,Viewed,Paid,1.27312,125.5969587,Dec-23,Direct,United States,US
Mulberry Elementary,trishaauthement@tpsd.org,Mulberry Elementary,450 Cougar Dr.,,,Houma,LA,70360,US,,,,,,,,,INV-2677,739806 (PO 120523-322),11/12/2023,10/1/2024,,572.96,0,572.96,0,CX0005,HUE HD Pro hard carry case (White/multicoloured),6,0,,0,,,0,,,,,USD,Sales invoice,Viewed,Paid,1.27312,0,Dec-23,Direct,United States,US
Mulberry Elementary,trishaauthement@tpsd.org,Mulberry Elementary,450 Cougar Dr.,,,Houma,LA,70360,US,,,,,,,,,INV-2677,739806 (PO 120523-322),11/12/2023,10/1/2024,,572.96,0,572.96,0,PX0003,HUE HD Pro Camera (Green),2,79.95,,159.9,4100,Tax Exempt,0,,,,,USD,Sales invoice,Viewed,Paid,1.27312,125.5969587,Dec-23,Direct,United States,US
Mulberry Elementary,trishaauthement@tpsd.org,Mulberry Elementary,450 Cougar Dr.,,,Houma,LA,70360,US,,,,,,,,,INV-2677,739806 (PO 120523-322),11/12/2023,10/1/2024,,572.96,0,572.96,0,Delivery,Shipping,1,93.26,,93.26,4700,Tax Exempt,0,,,,,USD,Sales invoice,Viewed,Paid,1.27312,73.25311047,Dec-23,Direct,United States,US
Mulberry Elementary,trishaauthement@tpsd.org,Mulberry Elementary,450 Cougar Dr.,,,Houma,LA,70360,US,,,,,,,,,INV-2677,739806 (PO 120523-322),11/12/2023,10/1/2024,,572.96,0,572.96,0,,"Delivery Address:Trisha AuthementMulberry Elementary450 Cougar Dr.Houma, LA 70360United States (US)",0,0,,0,,,0,,,,,USD,Sales invoice,Viewed,Paid,1.27312,0,Dec-23,Direct,United States,US
Fayette County Public Schools,fcps.accountspayable@fayette.kyschools.us,PO BOX 55490,,,,LEXINGTON,KY,40555,US,FCPS WAREHOUSE,1126 RUSSELL CAVE ROAD,,,LEXINGTON,KY,40505,,INV-2676,726969 (PO 44004947),7/12/2023,6/1/2024,,180.2,0,180.2,0,PX0001,HUE HD Pro Camera (Blue),2,79.95,,159.9,4100,Tax Exempt,0,,,,,USD,Sales invoice,Viewed,Paid,1.27312,125.5969587,Dec-23,Direct,United States,US
Fayette County Public Schools,fcps.accountspayable@fayette.kyschools.us,PO BOX 55490,,,,LEXINGTON,KY,40555,US,FCPS WAREHOUSE,1126 RUSSELL CAVE ROAD,,,LEXINGTON,KY,40505,,INV-2676,726969 (PO 44004947),7/12/2023,6/1/2024,,180.2,0,180.2,0,Delivery,Shipping,1,20.3,,20.3,4700,Tax Exempt,0,,,,,USD,Sales invoice,Viewed,Paid,1.27312,15.9450798,Dec-23,Direct,United States,US
Fayette County Public Schools,fcps.accountspayable@fayette.kyschools.us,PO BOX 55490,,,,LEXINGTON,KY,40555,US,FCPS WAREHOUSE,1126 RUSSELL CAVE ROAD,,,LEXINGTON,KY,40505,,INV-2676,726969 (PO 44004947),7/12/2023,6/1/2024,,180.2,0,180.2,0,,"Delivery Address:FCPS WAREHOUSE1126 RUSSELL CAVE ROADLEXINGTON, KY 40505",0,0,,0,,,0,,,,,USD,Sales invoice,Viewed,Paid,1.27312,0,Dec-23,Direct,United States,US
Fayette County Public Schools,fcps.accountspayable@fayette.kyschools.us,PO BOX 55490,,,,LEXINGTON,KY,40555,US,FCPS WAREHOUSE,1126 RUSSELL CAVE ROAD,,,LEXINGTON,KY,40505,,INV-2675,727054 (PO 44004951),7/12/2023,6/1/2024,,377.4,0,377.4,0,PX0001,HUE HD Pro Camera (Blue),1,79.95,,79.95,4100,Tax Exempt,0,,,,,USD,Sales invoice,Viewed,Paid,1.27312,62.79847933,Dec-23,Direct,United States,US
Fayette County Public Schools,fcps.accountspayable@fayette.kyschools.us,PO BOX 55490,,,,LEXINGTON,KY,40555,US,FCPS WAREHOUSE,1126 RUSSELL CAVE ROAD,,,LEXINGTON,KY,40505,,INV-2675,727054 (PO 44004951),7/12/2023,6/1/2024,,377.4,0,377.4,0,PX0003,HUE HD Pro Camera (Green),1,79.95,,79.95,4100,Tax Exempt,0,,,,,USD,Sales invoice,Viewed,Paid,1.27312,62.79847933,Dec-23,Direct,United States,US
Fayette County Public Schools,fcps.accountspayable@fayette.kyschools.us,PO BOX 55490,,,,LEXINGTON,KY,40555,US,FCPS WAREHOUSE,1126 RUSSELL CAVE ROAD,,,LEXINGTON,KY,40505,,INV-2675,727054 (PO 44004951),7/12/2023,6/1/2024,,377.4,0,377.4,0,PX0002,HUE HD Pro Camera (Red),1,79.95,,79.95,4100,Tax Exempt,0,,,,,USD,Sales invoice,Viewed,Paid,1.27312,62.79847933,Dec-23,Direct,United States,US
Fayette County Public Schools,fcps.accountspayable@fayette.kyschools.us,PO BOX 55490,,,,LEXINGTON,KY,40555,US,FCPS WAREHOUSE,1126 RUSSELL CAVE ROAD,,,LEXINGTON,KY,40505,,INV-2675,727054 (PO 44004951),7/12/2023,6/1/2024,,377.4,0,377.4,0,PX0004,HUE HD Pro Camera (Black),1,79.95,,79.95,4100,Tax Exempt,0,,,,,USD,Sales invoice,Viewed,Paid,1.27312,62.79847933,Dec-23,Direct,United States,US
Fayette County Public Schools,fcps.accountspayable@fayette.kyschools.us,PO BOX 55490,,,,LEXINGTON,KY,40555,US,FCPS WAREHOUSE,1126 RUSSELL CAVE ROAD,,,LEXINGTON,KY,40505,,INV-2675,727054 (PO 44004951),7/12/2023,6/1/2024,,377.4,0,377.4,0,Delivery,Shipping,1,57.6,,57.6,4700,Tax Exempt,0,,,,,USD,Sales invoice,Viewed,Paid,1.27312,45.2431821,Dec-23,Direct,United States,US
Fayette County Public Schools,fcps.accountspayable@fayette.kyschools.us,PO BOX 55490,,,,LEXINGTON,KY,40555,US,FCPS WAREHOUSE,1126 RUSSELL CAVE ROAD,,,LEXINGTON,KY,40505,,INV-2675,727054 (PO 44004951),7/12/2023,6/1/2024,,377.4,0,377.4,0,,"Delivery Address:FCPS WAREHOUSE1126 RUSSELL CAVE ROADLEXINGTON, KY 40505",0,0,,0,,,0,,,,,USD,Sales invoice,Viewed,Paid,1.27312,0,Dec-23,Direct,United States,US
Fayette County Public Schools,fcps.accountspayable@fayette.kyschools.us,PO BOX 55490,,,,LEXINGTON,KY,40555,US,FCPS WAREHOUSE,1126 RUSSELL CAVE ROAD,,,LEXINGTON,KY,40505,,INV-2674,727052 (PO 44004941),6/12/2023,5/1/2024,,832.86,0,832.86,0,HD0001,HUE HD Camera (Blue),15,49.95,,749.25,4100,Tax Exempt,0,,,,,USD,Sales invoice,Viewed,Paid,1.27312,588.5148297,Dec-23,Direct,United States,US
Fayette County Public Schools,fcps.accountspayable@fayette.kyschools.us,PO BOX 55490,,,,LEXINGTON,KY,40555,US,FCPS WAREHOUSE,1126 RUSSELL CAVE ROAD,,,LEXINGTON,KY,40505,,INV-2674,727052 (PO 44004941),6/12/2023,5/1/2024,,832.86,0,832.86,0,Delivery,Shipping,1,83.61,,83.61,4700,Tax Exempt,0,,,,,USD,Sales invoice,Viewed,Paid,1.27312,65.67330652,Dec-23,Direct,United States,US
Fayette County Public Schools,fcps.accountspayable@fayette.kyschools.us,PO BOX 55490,,,,LEXINGTON,KY,40555,US,FCPS WAREHOUSE,1126 RUSSELL CAVE ROAD,,,LEXINGTON,KY,40505,,INV-2674,727052 (PO 44004941),6/12/2023,5/1/2024,,832.86,0,832.86,0,,"Delivery Address:Shelby Frazier1126 Russell Cave Rd.Lexington, KY 40505United States (US)",0,0,,0,,,0,,,,,USD,Sales invoice,Viewed,Paid,1.27312,0,Dec-23,Direct,United States,US
Fayette County Public Schools,fcps.accountspayable@fayette.kyschools.us,PO BOX 55490,,,,LEXINGTON,KY,40555,US,FCPS WAREHOUSE,1126 RUSSELL CAVE ROAD,,,LEXINGTON,KY,40505,,INV-2673,726931 (PO 44004809),4/12/2023,3/1/2024,,989.63,0,989.63,0,PX0001,HUE HD Pro Camera (Blue),3,79.95,,239.85,4100,Tax Exempt,0,,,,,USD,Sales invoice,Viewed,Paid,1.27312,188.395438,Dec-23,Direct,United States,US
Fayette County Public Schools,fcps.accountspayable@fayette.kyschools.us,PO BOX 55490,,,,LEXINGTON,KY,40555,US,FCPS WAREHOUSE,1126 RUSSELL CAVE ROAD,,,LEXINGTON,KY,40505,,INV-2673,726931 (PO 44004809),4/12/2023,3/1/2024,,989.63,0,989.63,0,PX0002,HUE HD Pro Camera (Red),2,79.95,,159.9,4100,Tax Exempt,0,,,,,USD,Sales invoice,Viewed,Paid,1.27312,125.5969587,Dec-23,Direct,United States,US
Fayette County Public Schools,fcps.accountspayable@fayette.kyschools.us,PO BOX 55490,,,,LEXINGTON,KY,40555,US,FCPS WAREHOUSE,1126 RUSSELL CAVE ROAD,,,LEXINGTON,KY,40505,,INV-2673,726931 (PO 44004809),4/12/2023,3/1/2024,,989.63,0,989.63,0,PX0003,HUE HD Pro Camera (Green),3,79.95,,239.85,4100,Tax Exempt,0,,,,,USD,Sales invoice,Viewed,Paid,1.27312,188.395438,Dec-23,Direct,United States,US
Fayette County Public Schools,fcps.accountspayable@fayette.kyschools.us,PO BOX 55490,,,,LEXINGTON,KY,40555,US,FCPS WAREHOUSE,1126 RUSSELL CAVE ROAD,,,LEXINGTON,KY,40505,,INV-2673,726931 (PO 44004809),4/12/2023,3/1/2024,,989.63,0,989.63,0,PX0004,HUE HD Pro Camera (Black),2,79.95,,159.9,4100,Tax Exempt,0,,,,,USD,Sales invoice,Viewed,Paid,1.27312,125.5969587,Dec-23,Direct,United States,US
Fayette County Public Schools,fcps.accountspayable@fayette.kyschools.us,PO BOX 55490,,,,LEXINGTON,KY,40555,US,FCPS WAREHOUSE,1126 RUSSELL CAVE ROAD,,,LEXINGTON,KY,40505,,INV-2673,726931 (PO 44004809),4/12/2023,3/1/2024,,989.63,0,989.63,0,UL0005,HUE Animation five user license,1,89.99,,89.99,4300,Tax Exempt,0,,,,,USD,Sales invoice,Viewed,Paid,1.27312,70.68461732,Dec-23,Direct,United States,US
Fayette County Public Schools,fcps.accountspayable@fayette.kyschools.us,PO BOX 55490,,,,LEXINGTON,KY,40555,US,FCPS WAREHOUSE,1126 RUSSELL CAVE ROAD,,,LEXINGTON,KY,40505,,INV-2673,726931 (PO 44004809),4/12/2023,3/1/2024,,989.63,0,989.63,0,Delivery,Shipping,1,100.14,,100.14,4700,Tax Exempt,0,,,,,USD,Sales invoice,Viewed,Paid,1.27312,78.65715722,Dec-23,Direct,United States,US
Fayette County Public Schools,fcps.accountspayable@fayette.kyschools.us,PO BOX 55490,,,,LEXINGTON,KY,40555,US,FCPS WAREHOUSE,1126 RUSSELL CAVE ROAD,,,LEXINGTON,KY,40505,,INV-2673,726931 (PO 44004809),4/12/2023,3/1/2024,,989.63,0,989.63,0,,"Delivery Address:FCPS WAREHOUSE1126 RUSSELL CAVE ROADLEXINGTON, KY 40505",0,0,,0,,,0,,,,,USD,Sales invoice,Viewed,Paid,1.27312,0,Dec-23,Direct,United States,US
Fayette County Public Schools,fcps.accountspayable@fayette.kyschools.us,PO BOX 55490,,,,LEXINGTON,KY,40555,US,FCPS WAREHOUSE,1126 RUSSELL CAVE ROAD,,,LEXINGTON,KY,40505,,INV-2672,726944 (PO 44004550),11/22/2023,12/22/2023,,172.39,0,172.39,0,AS0001,HUE Animation Studio (Blue),1,69.95,,69.95,4100,Tax Exempt,0,,,,,USD,Sales invoice,Viewed,Paid,1.27312,54.94376021,Nov-23,Direct,United States,US
Fayette County Public Schools,fcps.accountspayable@fayette.kyschools.us,PO BOX 55490,,,,LEXINGTON,KY,40555,US,FCPS WAREHOUSE,1126 RUSSELL CAVE ROAD,,,LEXINGTON,KY,40505,,INV-2672,726944 (PO 44004550),11/22/2023,12/22/2023,,172.39,0,172.39,0,CX0005,HUE HD Pro hard carry case (White/multicoloured),1,0,,0,,,0,,,,,USD,Sales invoice,Viewed,Paid,1.27312,0,Nov-23,Direct,United States,US
Fayette County Public Schools,fcps.accountspayable@fayette.kyschools.us,PO BOX 55490,,,,LEXINGTON,KY,40555,US,FCPS WAREHOUSE,1126 RUSSELL CAVE ROAD,,,LEXINGTON,KY,40505,,INV-2672,726944 (PO 44004550),11/22/2023,12/22/2023,,172.39,0,172.39,0,PX0002,HUE HD Pro Camera (Red),1,79.95,,79.95,4100,Tax Exempt,0,,,,,USD,Sales invoice,Viewed,Paid,1.27312,62.79847933,Nov-23,Direct,United States,US
Fayette County Public Schools,fcps.accountspayable@fayette.kyschools.us,PO BOX 55490,,,,LEXINGTON,KY,40555,US,FCPS WAREHOUSE,1126 RUSSELL CAVE ROAD,,,LEXINGTON,KY,40505,,INV-2672,726944 (PO 44004550),11/22/2023,12/22/2023,,172.39,0,172.39,0,Delivery,Shipping,1,22.49,,22.49,4700,Tax Exempt,0,,,,,USD,Sales invoice,Viewed,Paid,1.27312,17.66526329,Nov-23,Direct,United States,US
Fayette County Public Schools,fcps.accountspayable@fayette.kyschools.us,PO BOX 55490,,,,LEXINGTON,KY,40555,US,FCPS WAREHOUSE,1126 RUSSELL CAVE ROAD,,,LEXINGTON,KY,40505,,INV-2672,726944 (PO 44004550),11/22/2023,12/22/2023,,172.39,0,172.39,0,,"Delivery Address:FCPS WAREHOUSE1126 RUSSELL CAVE ROADLEXINGTON, KY 40505",0,0,,0,,,0,,,,,USD,Sales invoice,Viewed,Paid,1.27312,0,Nov-23,Direct,United States,US
Fayette County Public Schools,fcps.accountspayable@fayette.kyschools.us,PO BOX 55490,,,,LEXINGTON,KY,40555,US,FCPS WAREHOUSE,1126 RUSSELL CAVE ROAD,,,LEXINGTON,KY,40505,,INV-2671,726961 (PO 44004523),11/21/2023,12/21/2023,,121.94,0,121.94,0,PX0004,HUE HD Pro Camera (Black),1,79.95,,79.95,4100,Tax Exempt,0,,,,,USD,Sales invoice,Viewed,Paid,1.27312,62.79847933,Nov-23,Direct,United States,US
